,id,airline_iata,origin_iata,deprt_time,dest_iata,duration,prop,ac_type,capacity,distance,price_usd,regional,flight_path,city_pair,arrive_time,flight_legs,service_lvl,first_layover,second_layover,first_transfer_city,second_transfer_city
2,3,MS,ABS,2023-01-01 08:30:00,ASW,0 days 00:45:00,0,B738,162,216,55,0,ABS -> ASW,ABS_ASW,2023-01-01 09:15:00,[3],0,0 days 00:00:00,0 days 00:00:00,,
3,4,MS,ABS,2023-01-01 10:05:00,ASW,0 days 00:45:00,0,B738,162,216,55,0,ABS -> ASW,ABS_ASW,2023-01-01 10:50:00,[4],0,0 days 00:00:00,0 days 00:00:00,,
4,5,MS,ABS,2023-01-01 11:00:00,ASW,0 days 00:45:00,0,B738,162,216,55,0,ABS -> ASW,ABS_ASW,2023-01-01 11:45:00,[5],0,0 days 00:00:00,0 days 00:00:00,,
5,6,MS,ABS,2023-01-01 13:30:00,ASW,0 days 00:45:00,0,B738,162,216,55,0,ABS -> ASW,ABS_ASW,2023-01-01 14:15:00,[6],0,0 days 00:00:00,0 days 00:00:00,,
98,99,SM,ABS,2023-01-01 11:40:00,ASW,0 days 01:00:00,1,ATR,70,216,55,0,ABS -> ASW,ABS_ASW,2023-01-01 12:40:00,[99],0,0 days 00:00:00,0 days 00:00:00,,
2,3,MS,ABS,2023-01-01 08:30:00,CAI,0 days 04:15:00,0,B738,162,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 12:45:00,"[3, 12]",1,0 days 02:05:00,0 days 00:00:00,ASW,
3,4,MS,ABS,2023-01-01 10:05:00,CAI,0 days 02:40:00,0,B738,162,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 12:45:00,"[4, 12]",1,0 days 00:30:00,0 days 00:00:00,ASW,
3,4,MS,ABS,2023-01-01 10:05:00,CAI,0 days 06:05:00,0,B738,162,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 16:10:00,"[4, 13]",1,0 days 03:55:00,0 days 00:00:00,ASW,
4,5,MS,ABS,2023-01-01 11:00:00,CAI,0 days 05:10:00,0,B738,162,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 16:10:00,"[5, 13]",1,0 days 03:00:00,0 days 00:00:00,ASW,
4,5,MS,ABS,2023-01-01 11:00:00,CAI,0 days 06:05:00,0,B738,162,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 17:05:00,"[5, 14]",1,0 days 03:55:00,0 days 00:00:00,ASW,
5,6,MS,ABS,2023-01-01 13:30:00,CAI,0 days 02:40:00,0,B738,162,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 16:10:00,"[6, 13]",1,0 days 00:30:00,0 days 00:00:00,ASW,
5,6,MS,ABS,2023-01-01 13:30:00,CAI,0 days 03:35:00,0,B738,162,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 17:05:00,"[6, 14]",1,0 days 01:25:00,0 days 00:00:00,ASW,
5,6,MS,ABS,2023-01-01 13:30:00,CAI,0 days 03:55:00,0,B738,162,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 17:25:00,"[6, 15]",1,0 days 01:45:00,0 days 00:00:00,ASW,
98,99,SM,ABS,2023-01-01 11:40:00,CAI,0 days 03:40:00,1,ATR,70,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 15:20:00,"[99, 103]",1,0 days 00:40:00,0 days 00:00:00,ASW,
98,99,SM,ABS,2023-01-01 11:40:00,CAI,0 days 04:05:00,0,ATR,70,915,55,1,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 15:45:00,"[99, 104]",2,0 days 01:40:00,0 days 00:00:00,ASW,
98,99,SM,ABS,2023-01-01 11:40:00,CAI,0 days 05:45:00,1,ATR,70,915,55,0,ABS -> ASW -> CAI,ABS_CAI,2023-01-01 17:25:00,"[99, 105]",2,0 days 03:20:00,0 days 00:00:00,ASW,
3,4,MS,ABS,2023-01-01 10:05:00,HMB,0 days 07:55:00,0,B738,162,1176,55,0,ABS -> ASW -> CAI -> HMB,ABS_HMB,2023-01-01 18:00:00,"[4, 13, 50]",3,0 days 03:55:00,0 days 00:50:00,ASW,CAI
4,5,MS,ABS,2023-01-01 11:00:00,HMB,0 days 07:00:00,0,B738,162,1176,55,0,ABS -> ASW -> CAI -> HMB,ABS_HMB,2023-01-01 18:00:00,"[5, 13, 50]",3,0 days 03:00:00,0 days 00:50:00,ASW,CAI
5,6,MS,ABS,2023-01-01 13:30:00,HMB,0 days 04:30:00,0,B738,162,1176,55,0,ABS -> ASW -> CAI -> HMB,ABS_HMB,2023-01-01 18:00:00,"[6, 13, 50]",3,0 days 00:30:00,0 days 00:50:00,ASW,CAI
98,99,SM,ABS,2023-01-01 11:40:00,HMB,0 days 06:20:00,1,ATR,70,1176,55,0,ABS -> ASW -> CAI -> HMB,ABS_HMB,2023-01-01 18:00:00,"[99, 103, 128]",3,0 days 00:40:00,0 days 01:40:00,ASW,CAI
98,99,SM,ABS,2023-01-01 11:40:00,HMB,0 days 06:20:00,0,ATR,70,1176,55,1,ABS -> ASW -> CAI -> HMB,ABS_HMB,2023-01-01 18:00:00,"[99, 104, 128]",3,0 days 01:40:00,0 days 01:15:00,ASW,CAI
6,7,MS,ASW,2023-01-01 06:50:00,ABS,0 days 00:45:00,0,B738,162,216,55,0,ASW -> ABS,ASW_ABS,2023-01-01 07:35:00,[7],0,0 days 00:00:00,0 days 00:00:00,,
7,8,MS,ASW,2023-01-01 07:15:00,ABS,0 days 00:45:00,0,B738,162,216,55,0,ASW -> ABS,ASW_ABS,2023-01-01 08:00:00,[8],0,0 days 00:00:00,0 days 00:00:00,,
8,9,MS,ASW,2023-01-01 09:45:00,ABS,0 days 00:45:00,0,B738,162,216,55,0,ASW -> ABS,ASW_ABS,2023-01-01 10:30:00,[9],0,0 days 00:00:00,0 days 00:00:00,,
9,10,MS,ASW,2023-01-01 12:15:00,ABS,0 days 00:45:00,0,B738,162,216,55,0,ASW -> ABS,ASW_ABS,2023-01-01 13:00:00,[10],0,0 days 00:00:00,0 days 00:00:00,,
10,11,MS,ASW,2023-01-01 22:05:00,ABS,0 days 00:45:00,0,B738,162,216,55,0,ASW -> ABS,ASW_ABS,2023-01-01 22:50:00,[11],0,0 days 00:00:00,0 days 00:00:00,,
99,100,SM,ASW,2023-01-01 07:40:00,ABS,0 days 01:00:00,1,ATR,70,216,55,0,ASW -> ABS,ASW_ABS,2023-01-01 08:40:00,[100],0,0 days 00:00:00,0 days 00:00:00,,
