,0,1,2,3,4,5,6,7,8,9
airline_iata,FT,MS,MS,MS,MS,NP,SM,SM,SM,SM
origin_iata,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI
deprt_time,2023-01-01 13:00:00,2023-01-01 09:30:00,2023-01-01 13:40:00,2023-01-01 19:50:00,2023-01-01 22:35:00,2023-01-01 16:45:00,2023-01-01 12:20:00,2023-01-01 16:40:00,2023-01-01 19:10:00,2023-01-01 08:00:00
dest_iata,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH
duration,0 days 01:00:00,0 days 01:00:00,0 days 01:00:00,0 days 01:00:00,0 days 01:00:00,0 days 01:00:00,0 days 01:30:00,0 days 01:30:00,0 days 01:00:00,0 days 01:30:00
prop,0,0,0,0,0,0,1,1,0,1
ac_type,B738,B738,B738,B738,B738,A320,ATR,ATR,A320,ATR
capacity,162,162,162,162,162,150,70,70,150,70
distance,376,376,376,376,376,376,376,376,376,376
price_usd,100,55,55,55,55,55,55,55,55,55
regional,0,0,0,0,0,0,0,0,0,0
flight_path,CAI -> SSH,CAI -> SSH,CAI -> SSH,CAI -> SSH,CAI -> SSH,CAI -> SSH,CAI -> SSH,CAI -> SSH,CAI -> SSH,CAI -> SSH
city_pair,CAI_SSH,CAI_SSH,CAI_SSH,CAI_SSH,CAI_SSH,CAI_SSH,CAI_SSH,CAI_SSH,CAI_SSH,CAI_SSH
arrive_time,2023-01-01 14:00:00,2023-01-01 10:30:00,2023-01-01 14:40:00,2023-01-01 20:50:00,2023-01-01 23:35:00,2023-01-01 17:45:00,2023-01-01 13:50:00,2023-01-01 18:10:00,2023-01-01 20:10:00,2023-01-01 09:30:00
flight_legs,[1],[63],[64],[65],[66],[95],[146],[147],[148],[149]
service_lvl,0,0,0,0,0,0,0,0,0,0
first_layover,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
second_layover,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
first_transfer_city,,,,,,,,,,
second_transfer_city,,,,,,,,,,
itn_no,ITN_1,ITN_2,ITN_3,ITN_4,ITN_5,ITN_6,ITN_7,ITN_8,ITN_9,ITN_10
nonstop_itn_nonstop_mrkt,1,1,1,1,1,1,1,1,1,1
direct_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0
single_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0
double_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0
direct_itn_direct_mrkt,0,0,0,0,0,0,0,0,0,0
single_itn_direct_mrkt,0,0,0,0,0,0,0,0,0,0
double_itn_direct_mrkt,0,0,0,0,0,0,0,0,0,0
single_itn_single_mrkt,0,0,0,0,0,0,0,0,0,0
double_itn_single_mrkt,0,0,0,0,0,0,0,0,0,0
second_best_cnct,0,0,0,0,0,0,0,0,0,0
second_best_cnct_time_diff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best_cnct_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance_ratio,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mainline,1,1,1,1,1,1,0,0,1,0
mainline_seats,162,162,162,162,162,150,0,0,150,0
regional_seats,0,0,0,0,0,0,0,0,0,0
prop_seats,0,0,0,0,0,0,70,70,0,70
midn_to_5,0,0,0,0,0,0,0,0,0,0
5_to_6,0,0,0,0,0,0,0,0,0,0
6_to_7,0,0,0,0,0,0,0,0,0,0
7_to_8,0,0,0,0,0,0,0,0,0,0
8_to_9,0,0,0,0,0,0,0,0,0,1
9_to_10,0,1,0,0,0,0,0,0,0,0
10_to_11,0,0,0,0,0,0,0,0,0,0
11_to_12,0,0,0,0,0,0,0,0,0,0
12_to_13,0,0,0,0,0,0,1,0,0,0
13_to_14,1,0,1,0,0,0,0,0,0,0
14_to_15,0,0,0,0,0,0,0,0,0,0
15_to_16,0,0,0,0,0,0,0,0,0,0
16_to_17,0,0,0,0,0,1,0,1,0,0
17_to_18,0,0,0,0,0,0,0,0,0,0
18_to_19,0,0,0,0,0,0,0,0,0,0
19_to_20,0,0,0,1,0,0,0,0,1,0
20_to_21,0,0,0,0,0,0,0,0,0,0
21_to_22,0,0,0,0,0,0,0,0,0,0
22_to_midn,0,0,0,0,1,0,0,0,0,0
itn_score,-0.41259999999999997,-0.3812,-0.41259999999999997,-0.3811,-1.2326000000000001,-0.2119999999999999,-0.6248,-0.34700000000000003,-0.4302999999999999,-0.4864
exp_score,0.6619270006810206,0.6830412677046227,0.6619270006810206,0.6831095752467133,0.2915336040721356,0.8089646975664999,0.5353684915106364,0.7068053282577494,0.6503139712648818,0.6148358237905877
probability,0.10510403442718291,0.1084566619010134,0.10510403442718291,0.10846750810950488,0.04629114377801967,0.12845140526965504,0.08500845003311604,0.11223003666278585,0.10326006032988523,0.0976266650616541
demand,133.90253986023103,138.17378726189108,133.90253986023103,138.18760533150922,58.974917173197056,163.64709031354053,108.30076534218983,142.98106670838916,131.55331686027378,124.37637128854732
