,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
airline_iata,MS,MS,MS,MS,MS,MS,MS,MS,MS,MS,MS,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM
origin_iata,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW
deprt_time,2023-01-01 11:20:00,2023-01-01 14:45:00,2023-01-01 15:40:00,2023-01-01 16:00:00,2023-01-01 06:00:00,2023-01-01 06:30:00,2023-01-01 08:20:00,2023-01-01 09:05:00,2023-01-01 07:05:00,2023-01-01 07:05:00,2023-01-01 07:05:00,2023-01-01 11:50:00,2023-01-01 11:50:00,2023-01-01 13:20:00,2023-01-01 13:20:00,2023-01-01 14:20:00,2023-01-01 14:20:00,2023-01-01 16:00:00,2023-01-01 16:50:00,2023-01-01 07:20:00,2023-01-01 07:20:00,2023-01-01 07:40:00,2023-01-01 08:20:00
dest_iata,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH
duration,0 days 03:20:00,0 days 06:05:00,0 days 05:10:00,0 days 04:50:00,0 days 04:30:00,0 days 04:00:00,0 days 06:20:00,0 days 05:35:00,0 days 07:35:00,0 days 07:35:00,0 days 07:35:00,0 days 06:20:00,0 days 06:20:00,0 days 04:50:00,0 days 06:50:00,0 days 03:50:00,0 days 05:50:00,0 days 04:10:00,0 days 03:20:00,0 days 06:30:00,0 days 06:30:00,0 days 06:10:00,0 days 05:30:00
prop,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
ac_type,B738,B738,B738,B738,B738,B738,B738,B738,B738,B738,B738,A320,A320,ATR,ATR,E90,E90,A320,A320,A320,ATR,ATR,E90
capacity,162,162,162,162,162,162,162,162,162,162,162,70,70,70,70,70,106,150,150,70,70,70,70
distance,1075,1075,1075,1075,1075,1075,1075,1075,1074,1074,1074,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075
price_usd,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
flight_path,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> LXR -> CAI -> SSH,ASW -> LXR -> CAI -> SSH,ASW -> LXR -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH
city_pair,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH
arrive_time,2023-01-01 14:40:00,2023-01-01 20:50:00,2023-01-01 20:50:00,2023-01-01 20:50:00,2023-01-01 10:30:00,2023-01-01 10:30:00,2023-01-01 14:40:00,2023-01-01 14:40:00,2023-01-01 14:40:00,2023-01-01 14:40:00,2023-01-01 14:40:00,2023-01-01 18:10:00,2023-01-01 18:10:00,2023-01-01 18:10:00,2023-01-01 20:10:00,2023-01-01 18:10:00,2023-01-01 20:10:00,2023-01-01 20:10:00,2023-01-01 20:10:00,2023-01-01 13:50:00,2023-01-01 13:50:00,2023-01-01 13:50:00,2023-01-01 13:50:00
flight_legs,"[12, 64]","[13, 65]","[14, 65]","[15, 65]","[22, 63]","[23, 63]","[27, 64]","[28, 64]","[29, 75, 64]","[29, 76, 64]","[29, 77, 64]","[101, 147]","[102, 147]","[103, 147]","[103, 148]","[104, 147]","[104, 148]","[105, 148]","[106, 148]","[110, 146]","[111, 146]","[112, 146]","[113, 146]"
service_lvl,1,1,1,1,1,1,1,1,3,3,3,2,2,1,2,2,2,1,1,2,1,1,2
first_layover,0 days 00:55:00,0 days 03:40:00,0 days 02:45:00,0 days 02:25:00,0 days 02:05:00,0 days 01:35:00,0 days 03:55:00,0 days 03:10:00,0 days 00:55:00,0 days 01:25:00,0 days 02:15:00,0 days 03:25:00,0 days 03:25:00,0 days 01:20:00,0 days 03:50:00,0 days 00:55:00,0 days 03:25:00,0 days 01:45:00,0 days 00:55:00,0 days 03:35:00,0 days 03:00:00,0 days 02:40:00,0 days 02:35:00
second_layover,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 03:50:00,0 days 03:20:00,0 days 02:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
first_transfer_city,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,LXR,LXR,LXR,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI
second_transfer_city,,,,,,,,,CAI,CAI,CAI,,,,,,,,,,,,
itn_no,ITN_1,ITN_2,ITN_3,ITN_4,ITN_5,ITN_6,ITN_7,ITN_8,ITN_9,ITN_10,ITN_11,ITN_12,ITN_13,ITN_14,ITN_15,ITN_16,ITN_17,ITN_18,ITN_19,ITN_20,ITN_21,ITN_22,ITN_23
nonstop_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_itn_direct_mrkt,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
single_itn_direct_mrkt,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1
double_itn_direct_mrkt,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
single_itn_single_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double_itn_single_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
second_best_cnct,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
second_best_cnct_time_diff,0.0,165.0,110.0,90.0,70.0,40.0,180.0,135.0,0.0,30.0,80.0,150.0,150.0,25.0,175.0,0.0,150.0,50.0,0.0,160.0,125.0,105.0,100.0
best_cnct_time,0.0,165.0,110.0,90.0,70.0,40.0,180.0,135.0,0.0,30.0,80.0,150.0,150.0,25.0,175.0,0.0,150.0,50.0,0.0,160.0,125.0,105.0,100.0
